prot	method	featset	metric	val.max
O14920	RANDOM_FOREST	linear	Balanced.Accuracy	0.965079365079365
O14965	RIDGE	linear	Balanced.Accuracy	0.931890331890332
O15530	RANDOM_FOREST	boruta	Balanced.Accuracy	1
O60674	XGBOOST	union	Balanced.Accuracy	0.944289405684755
O75116	RIDGE	union	Balanced.Accuracy	0.94804318488529
O96017	NEURALNET	union	Balanced.Accuracy	0.984848484848485
P00519	RANDOM_FOREST	union	Balanced.Accuracy	0.968500797448166
P00533	XGBOOST	union	Balanced.Accuracy	0.922538664654847
P04049	SVM	union	Balanced.Accuracy	0.959459459459459
P04626	LASSO	union	Balanced.Accuracy	0.898124467178176
P04629	SVM	union	Balanced.Accuracy	0.923076923076923
P05771	LASSO	boruta	Balanced.Accuracy	0.944444444444444
P06213	RIDGE	linear	Balanced.Accuracy	1
P06239	DECISION_TREE	union	Balanced.Accuracy	0.894444444444444
P06493	ELASTICNET	union	Balanced.Accuracy	0.951313405797101
P07333	ELASTICNET	union	Balanced.Accuracy	0.910852713178295
P07947	NEURALNET	boruta	Balanced.Accuracy	0.958333333333333
P07949	RIDGE	linear	Balanced.Accuracy	0.931286549707602
P08069	XGBOOST	linear	Balanced.Accuracy	0.965079365079365
P08581	XGBOOST	union	Balanced.Accuracy	0.910855892808313
P09619	DECISION_TREE	linear	Balanced.Accuracy	0.945382323733863
P10398	CART	linear	Balanced.Accuracy	1
P10721	XGBOOST	union	Balanced.Accuracy	0.87037037037037
P11309	RIDGE	linear	Balanced.Accuracy	0.975
P11362	LASSO	union	Balanced.Accuracy	0.948412698412698
P11802	SVM	linear	Balanced.Accuracy	0.888888888888889
P12931	RANDOM_FOREST	union	Balanced.Accuracy	0.907260726072607
P15056	XGBOOST	linear	Balanced.Accuracy	0.95195079761676
P16234	LASSO	linear	Balanced.Accuracy	0.868571428571429
P17948	RANDOM_FOREST	boruta	Balanced.Accuracy	0.941666666666667
P19784	RANDOM_FOREST	boruta	Balanced.Accuracy	1
P21802	NAIVE	linear	Balanced.Accuracy	0.958333333333333
P22455	XGBOOST	boruta	Balanced.Accuracy	0.995575221238938
P22607	RIDGE	boruta	Balanced.Accuracy	0.960170697012802
P23458	RIDGE	linear	Balanced.Accuracy	0.950076804915515
P24941	XGBOOST	linear	Balanced.Accuracy	0.954954954954955
P25098	NAIVE	linear	Balanced.Accuracy	1
P28482	XGBOOST	union	Balanced.Accuracy	0.979166666666667
P29597	XGBOOST	union	Balanced.Accuracy	0.980769230769231
P30530	CART	union	Balanced.Accuracy	1
P31749	SVM	linear	Balanced.Accuracy	0.951424501424501
P31751	RIDGE	union	Balanced.Accuracy	0.941176470588235
P35968	SVM	linear	Balanced.Accuracy	0.909542433891735
P36888	SVM	linear	Balanced.Accuracy	0.979047706759993
P36897	RIDGE	linear	Balanced.Accuracy	0.991935483870968
P42336	XGBOOST	boruta	Balanced.Accuracy	0.94749904543719
P42338	RIDGE	union	Balanced.Accuracy	0.971737866899157
P42345	XGBOOST	boruta	Balanced.Accuracy	0.980185055865922
P43405	NEURALNET	linear	Balanced.Accuracy	0.91677440206852
P45983	ELASTICNET	union	Balanced.Accuracy	0.96607832322118
P45984	RIDGE	boruta	Balanced.Accuracy	0.954545454545455
P48736	RIDGE	union	Balanced.Accuracy	0.945116487455197
P49137	ELASTICNET	boruta	Balanced.Accuracy	0.967418546365915
P49759	XGBOOST	union	Balanced.Accuracy	0.916666666666667
P49840	XGBOOST	linear	Balanced.Accuracy	0.95
P49841	XGBOOST	boruta	Balanced.Accuracy	0.940384615384615
P50750	CART	linear	Balanced.Accuracy	0.958333333333333
P52333	LASSO	union	Balanced.Accuracy	0.94726433750824
P53350	DECISION_TREE	boruta	Balanced.Accuracy	0.982142857142857
P53667	NEURALNET	boruta	Balanced.Accuracy	0.904545454545455
P53779	LASSO	linear	Balanced.Accuracy	0.963463463463463
P68400	SVM	union	Balanced.Accuracy	0.972222222222222
Q02750	RIDGE	linear	Balanced.Accuracy	0.9375
Q02763	XGBOOST	linear	Balanced.Accuracy	0.988636363636364
Q04759	ELASTICNET	union	Balanced.Accuracy	0.937179487179487
Q05397	RIDGE	linear	Balanced.Accuracy	0.965873015873016
Q06187	NEURALNET	union	Balanced.Accuracy	0.949490662139219
Q06418	NAIVE	boruta	Balanced.Accuracy	0.880952380952381
Q07912	NEURALNET	linear	Balanced.Accuracy	0.95
Q08881	RIDGE	linear	Balanced.Accuracy	1
Q13315	LASSO	boruta	Balanced.Accuracy	0.982758620689655
Q13535	XGBOOST	boruta	Balanced.Accuracy	1
Q13627	LASSO	linear	Balanced.Accuracy	0.976923076923077
Q14164	NAIVE	boruta	Balanced.Accuracy	0.979166666666667
Q16288	DECISION_TREE	linear	Balanced.Accuracy	0.961538461538462
Q16539	DECISION_TREE	union	Balanced.Accuracy	0.932788051209104
Q5S007	CART	union	Balanced.Accuracy	0.866319444444444
Q96GD4	XGBOOST	linear	Balanced.Accuracy	0.948364422816978
Q9NWZ3	KNN	common	Balanced.Accuracy	0.906766917293233
Q9P1W9	XGBOOST	union	Balanced.Accuracy	0.96993288590604
Q9UM73	RIDGE	common	Balanced.Accuracy	0.96242060691602
Q9Y243	LASSO	linear	Balanced.Accuracy	1
